gene,trait,brainspanT2dSWL,brainspanT2dSum,brainspanT2dPval,coexpressionT2dSWL,coexpressionT2dSum,coexpressionT2dPval,cotransT2dSWL,cotransT2dSum,cotransT2dPval,goT2dSWL,goT2dSum,goT2dPval,gtexT2dSWL,gtexT2dSum,gtexT2dPval,interproT2dSWL,interproT2dSum,interproT2dPval,keggT2dSWL,keggT2dSum,keggT2dPval,literatureT2dSWL,literatureT2dSum,literatureT2dPval,ppiT2dSWL,ppiT2dSum,ppiT2dPval
ABCA7,Alzheimer's disease,0.210890823022646,0.278267148603144,0.608695652173913,1.56271515473338,1.77269281627332,0.206521739130435,0.673640927092301,1.62639898738216,0.0978260869565217,11.331762139427,25.737755039891,0,1.15377635980076,1.9058305380628,0.0652173913043478,1.85166760059112,3.24927884842731,0.0108695652173913,1.37737420215495,1.45937068082325,0.195652173913043,4.73478633592294,5.06897704230007,0,0.283440478116909,1.85435083797005,0
ANKRD31,Alzheimer's disease,0.489575261283938,0.278267148603144,0.608695652173913,1.28864874444113,1.77269281627332,0.206521739130435,1.48238224273569,1.62639898738216,0.0978260869565217,11.550246997738,25.737755039891,0,1.37079942418833,1.9058305380628,0.0652173913043478,1.84328831020962,3.24927884842731,0.0108695652173913,1.16754795794366,1.45937068082325,0.195652173913043,3.08444085750421,5.06897704230007,0,1.16683276254616,1.85435083797005,0
ANTXR1,Alzheimer's disease,0.360886781068816,0.278267148603144,0.608695652173913,1.75904389910189,1.77269281627332,0.206521739130435,0.620509713156906,1.62639898738216,0.0978260869565217,14.887021186016,25.737755039891,0,1.74135186475299,1.9058305380628,0.0652173913043478,2.0295695094473,3.24927884842731,0.0108695652173913,0.594521830820292,1.45937068082325,0.195652173913043,2.58336647656951,5.06897704230007,0,0.96620041242616,1.85435083797005,0
AP2A2,Alzheimer's disease,0.209500166630473,0.278267148603144,0.608695652173913,1.89631870774279,1.77269281627332,0.206521739130435,2.0894462010531,1.62639898738216,0.0978260869565217,10.338559406805,25.737755039891,0,1.84489587203181,1.9058305380628,0.0652173913043478,2.80560563089513,3.24927884842731,0.0108695652173913,1.05920324934516,1.45937068082325,0.195652173913043,3.09879833912685,5.06897704230007,0,1.1298945617876,1.85435083797005,0
APOC1,Alzheimer's disease,0.766312656942193,0.278267148603144,0.608695652173913,2.17011839222181,1.77269281627332,0.206521739130435,1.17095571351329,1.62639898738216,0.0978260869565217,8.211442431143,25.737755039891,0,1.4015024575029,1.9058305380628,0.0652173913043478,2.30428474305072,3.24927884842731,0.0108695652173913,0.935463339827203,1.45937068082325,0.195652173913043,2.9340835920141,5.06897704230007,0,0.674130019185638,1.85435083797005,0
APOE,Alzheimer's disease,0.069601561288965,0.278267148603144,0.608695652173913,1.49359392823579,1.77269281627332,0.206521739130435,0.949432438017896,1.62639898738216,0.0978260869565217,9.456662894526,25.737755039891,0,1.33882294360917,1.9058305380628,0.0652173913043478,2.15673323643162,3.24927884842731,0.0108695652173913,1.74268254923191,1.45937068082325,0.195652173913043,2.08863821667738,5.06897704230007,0,0.640376270933608,1.85435083797005,0
BCAM,Alzheimer's disease,0.215397258828948,0.278267148603144,0.608695652173913,1.15423017578805,1.77269281627332,0.206521739130435,1.25436577418769,1.62639898738216,0.0978260869565217,13.846998278155,25.737755039891,0,1.22938795427267,1.9058305380628,0.0652173913043478,2.67652111762832,3.24927884842731,0.0108695652173913,1.2653810949877,1.45937068082325,0.195652173913043,2.43148292880329,5.06897704230007,0,1.07999906478853,1.85435083797005,0
BCL3,Alzheimer's disease,0.284831741370514,0.278267148603144,0.608695652173913,1.36267173642714,1.77269281627332,0.206521739130435,1.62444415672298,1.62639898738216,0.0978260869565217,10.812747910753,25.737755039891,0,1.65503407698525,1.9058305380628,0.0652173913043478,2.55313439990577,3.24927884842731,0.0108695652173913,0.734786020192846,1.45937068082325,0.195652173913043,2.7881445120605,5.06897704230007,0,0.757495146396813,1.85435083797005,0
BIN1,Alzheimer's disease,0.278545341708576,0.278267148603144,0.608695652173913,1.49294666255821,1.77269281627332,0.206521739130435,1.17829255895913,1.62639898738216,0.0978260869565217,11.723332283967,25.737755039891,0,1.48978760164305,1.9058305380628,0.0652173913043478,2.71096246946447,3.24927884842731,0.0108695652173913,1.14059891435861,1.45937068082325,0.195652173913043,2.81272568977056,5.06897704230007,0,0.870108686809359,1.85435083797005,0
BMPER,Alzheimer's disease,0.209082876972326,0.278267148603144,0.608695652173913,1.09012845994994,1.77269281627332,0.206521739130435,0.981902950789766,1.62639898738216,0.0978260869565217,11.279084713801,25.737755039891,0,1.41192494343991,1.9058305380628,0.0652173913043478,1.949432238756,3.24927884842731,0.0108695652173913,1.73822097825649,1.45937068082325,0.195652173913043,3.09486213746733,5.06897704230007,0,0.744549423070691,1.85435083797005,0
